agent-1  | 2026-09-12T01:04:33.746453Z [info     ] detector.change_detected       event_id=34bd691f-91a9-4082-9ddb-dd13d06e1b66 event_type=file_modified path=/watch/latency-ext-055.txt
agent-1  | 2026-09-12T01:04:33.750947Z [info     ] publisher.event_acked          event_id=34bd691f-91a9-4082-9ddb-dd13d06e1b66
agent-1  | 2026-09-12T01:04:33.854380Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=03a7eab4-6022-44f6-a596-0192918b0e27 path=/watch/latency-ext-056.txt
agent-1  | 2026-09-12T01:04:33.860842Z [info     ] publisher.event_published      event_id=03a7eab4-6022-44f6-a596-0192918b0e27
agent-1  | 2026-09-12T01:04:33.863356Z [info     ] detector.change_detected       event_id=03a7eab4-6022-44f6-a596-0192918b0e27 event_type=file_modified path=/watch/latency-ext-056.txt
agent-1  | 2026-09-12T01:04:33.872406Z [info     ] publisher.event_acked          event_id=03a7eab4-6022-44f6-a596-0192918b0e27
agent-1  | 2026-09-12T01:04:33.955947Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=cd41fbd1-534e-431f-990d-dba667034051 path=/watch/latency-ext-057.txt
agent-1  | 2026-09-12T01:04:33.963095Z [info     ] publisher.event_published      event_id=cd41fbd1-534e-431f-990d-dba667034051
agent-1  | 2026-09-12T01:04:33.965448Z [info     ] detector.change_detected       event_id=cd41fbd1-534e-431f-990d-dba667034051 event_type=file_modified path=/watch/latency-ext-057.txt
agent-1  | 2026-09-12T01:04:33.975084Z [info     ] publisher.event_acked          event_id=cd41fbd1-534e-431f-990d-dba667034051
agent-1  | 2026-09-12T01:04:34.056425Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=52a74ad2-9fb8-4406-affe-3a923b3f9209 path=/watch/latency-ext-058.txt
agent-1  | 2026-09-12T01:04:34.063115Z [info     ] publisher.event_published      event_id=52a74ad2-9fb8-4406-affe-3a923b3f9209
agent-1  | 2026-09-12T01:04:34.065394Z [info     ] detector.change_detected       event_id=52a74ad2-9fb8-4406-affe-3a923b3f9209 event_type=file_modified path=/watch/latency-ext-058.txt
agent-1  | 2026-09-12T01:04:34.074462Z [info     ] publisher.event_acked          event_id=52a74ad2-9fb8-4406-affe-3a923b3f9209
agent-1  | 2026-09-12T01:04:34.154445Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=f01c6cd0-1776-4730-b005-988c343fa560 path=/watch/latency-ext-059.txt
