[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00058/3000] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:24.652681+00:00
 [00059/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:24.752815+00:00
 [00060/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:24.852740+00:00
 [00061/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:24.952831+00:00
 [00062/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:25.052791+00:00
 [00063/3000] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:41:25.153150+00:00
 [00064/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:25.252820+00:00
 [00065/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:25.353030+00:00
 [00066/3000] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:25.452575+00:00
 [00067/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:25.552913+00:00
 [00068/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:25.653163+00:00
 [00069/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:25.752813+00:00
