operation_id,case,operation,expected_detection,kernel_seen,suppressed,decision_seen,queue_persisted,xadd_succeeded,xadd_failed,acknowledged,backend_persisted,backend_status,backend_received_at,event_ids,stages,interpretation
absence-20260910T052521Z-r2:22,C_create,create,True,True,True,True,True,True,False,True,True,alert_only,2026-09-10 05:27:27.895271+00:00,2c59ff3c-f33d-4c3c-bb1a-20d90cc8fd6f,ack_valid|baseline_read|change_classified|decision_evaluated|decision_suppressed|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:23,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:30.896596+00:00,bebacab1-4a16-4097-bfed-15b0f665d7c4,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:24,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:31.079492+00:00,7bc15335-60cd-461f-9658-acd146466ee2,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:25,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:36.895444+00:00,4b5cdc58-618b-497b-b485-39958d4c45c3,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:26,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:39.893699+00:00,37a96baa-a2c2-42d1-9d50-a45e458b4748,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:27,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:28,C_create,create,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:45.897377+00:00,711fce77-9af9-47e6-9cfb-20d51dc0fd45,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:29,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:48.885485+00:00,7226a784-be35-4e29-9b83-8c1d31d4ea8f,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:30,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:49.057041+00:00,bbe5fff7-00ae-4397-bb5f-7d95543aaebc,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:31,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:54.893648+00:00,3adc1073-cab7-45d1-a6e5-bd248ecf5cc7,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:32,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:57.897048+00:00,e2a752cf-d89b-43e2-bb09-1d2729ee9813,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:33,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:34,C_create,create,True,True,True,True,True,True,False,True,True,alert_only,2026-09-10 05:28:03.903369+00:00,8305f636-b120-436b-b690-7708686090ac,ack_valid|baseline_read|change_classified|decision_evaluated|decision_suppressed|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:35,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:06.903121+00:00,8ca4dd08-fe66-4624-8212-8f8b485557ff,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:36,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:07.080879+00:00,e3ff538b-766d-4b91-8fe8-f021787eaa0b,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:37,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:12.906549+00:00,a19592e8-f61b-4c47-9020-744f0d367514,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:38,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:15.902889+00:00,aa1c314e-aa71-4b77-804f-8188521575d6,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:39,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:40,C_create,create,True,True,True,True,True,True,False,True,True,alert_only,2026-09-10 05:28:21.910356+00:00,d587d292-6d9a-4203-9b44-3a697970401c,ack_valid|baseline_read|change_classified|decision_evaluated|decision_suppressed|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
