[2026-09-17T23:39:52.269131524Z] === Battery 5 — label=nominal rate_limit=100/60s ===
[2026-09-17T23:39:52.279718316Z] candidate=7a906c202e417aec5f03d9a7545e216a724aca81 tree=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T23:39:52.836750908Z] initial: events=0 queue+discarded=0 0 valkey_6380=1
[2026-09-17T23:39:52.843913913Z] --- phase 1: stop the backend (5-minute outage) ---
[2026-09-17T23:39:53.985860293Z] backend stopped; valkey_6380=1
[2026-09-17T23:39:53.992112263Z] --- phase 2: generate 3000 changes at 10/s over 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T23:39:54.360999+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00148/3000] delete simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:09.066288+00:00
 [00149/3000] create simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T23:40:09.166287+00:00
 [00150/3000] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T23:40:09.266634+00:00
 [00151/3000] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:09.366725+00:00
 [00152/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:09.466909+00:00
 [00153/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:09.566898+00:00
 [00154/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:09.666317+00:00
 [00155/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:09.766384+00:00
 [00156/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:09.866407+00:00
 [00157/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:09.966648+00:00
 [00158/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:10.066467+00:00
 [00159/3000] delete simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T23:40:10.166476+00:00
 [00160/3000] modify simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T23:40:10.266218+00:00
 [00161/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:10.366343+00:00
 [00162/3000] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T23:40:10.466708+00:00
 [00163/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:10.566599+00:00
 [00164/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:10.666423+00:00
 [00165/3000] create simple     /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:10.766288+00:00
 [00166/3000] modify simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T23:40:10.866410+00:00
 [00167/3000] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:10.966918+00:00
 [00168/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:11.066346+00:00
 [00169/3000] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-17T23:40:11.166273+00:00
 [00170/3000] modify simple     /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:11.266676+00:00
 [00171/3000] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T23:40:11.366708+00:00
 [00172/3000] create efimero    /srv/fim-watch/gen_00032.txt ts=2026-09-17T23:40:11.466711+00:00
 [00173/3000] delete efimero    /srv/fim-watch/gen_00032.txt ts=2026-09-17T23:40:11.566487+00:00
 [00174/3000] modify simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T23:40:11.666531+00:00
 [00175/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:11.766421+00:00
 [00176/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:11.866434+00:00
