event_id,path,event_type,status,severity,detected_at,received_at
3f70fabb-3f00-4868-9d6d-68eff37a7ba3,/srv/fim-watch/gen_00348.txt,file_modified,alert_only,high,2026-09-18 03:00:43.103421+00,2026-09-18 03:03:14.194588+00
09d169b9-7569-4441-917b-6cba5477d219,/srv/fim-watch/gen_00348.txt,file_modified,alert_only,high,2026-09-18 03:00:43.203151+00,2026-09-18 03:03:14.214209+00
67a29f5b-ff61-4a33-9cf4-0279699b8114,/srv/fim-watch/gen_00348.txt,file_modified,alert_only,high,2026-09-18 03:00:43.303355+00,2026-09-18 03:03:14.231976+00
5591fb5f-b644-47de-869c-9f660b8fcb35,/srv/fim-watch/gen_00348.txt,file_modified,alert_only,high,2026-09-18 03:00:43.40342+00,2026-09-18 03:03:14.250666+00
5600f5ba-68dd-4705-9e08-95bc8f5ec466,/srv/fim-watch/gen_00348.txt,file_modified,alert_only,high,2026-09-18 03:00:43.50335+00,2026-09-18 03:03:14.269965+00
ee1fbddb-5587-4ca0-8e50-7f0477911b8f,/srv/fim-watch/critico/gen_00209.txt,file_modified,alert_only,critical,2026-09-18 03:00:43.602978+00,2026-09-18 03:03:14.28599+00
0cf45538-10bb-433f-b980-c0408c3f2e94,/srv/fim-watch/gen_00266.txt,file_modified,alert_only,high,2026-09-18 03:00:43.702784+00,2026-09-18 03:03:14.302252+00
242711a1-ece6-4e20-8d39-15a78532324d,/srv/fim-watch/critico/gen_00330.txt,file_modified,alert_only,critical,2026-09-18 03:00:43.802898+00,2026-09-18 03:03:14.32028+00
2dc52e22-834d-4c2d-98c6-b5fdef0aa87c,/srv/fim-watch/gen_00049.txt,file_deleted,alert_only,high,2026-09-18 03:00:44.002946+00,2026-09-18 03:03:14.335965+00
a097921d-e88c-4a34-9db3-7a179fc51ad0,/srv/fim-watch/gen_00279.txt,file_modified,alert_only,high,2026-09-18 03:00:44.102998+00,2026-09-18 03:03:14.350211+00
3806b5c2-a0a5-4b3f-a8a1-271482eba3a4,/srv/fim-watch/gen_00279.txt,file_modified,alert_only,high,2026-09-18 03:00:44.203393+00,2026-09-18 03:03:14.364209+00
b47002cc-5f1e-4f65-9144-1e088e742665,/srv/fim-watch/gen_00282.txt,file_modified,alert_only,high,2026-09-18 03:00:44.302885+00,2026-09-18 03:03:14.379376+00
6879ff64-70cf-46ee-8eb9-532bcd06d2da,/srv/fim-watch/gen_00282.txt,file_modified,alert_only,high,2026-09-18 03:00:44.40341+00,2026-09-18 03:03:14.395052+00
129323f2-4c44-4ae8-b112-ff2bd68e8448,/srv/fim-watch/gen_00275.txt,file_modified,alert_only,high,2026-09-18 03:00:44.502988+00,2026-09-18 03:03:14.410333+00
4f4a7012-669e-4992-ac29-8f8d72e9716a,/srv/fim-watch/gen_00275.txt,file_modified,alert_only,high,2026-09-18 03:00:44.603284+00,2026-09-18 03:03:14.427137+00
35b5412f-49ab-4b7f-89dc-e38f70d1c883,/srv/fim-watch/gen_00275.txt,file_modified,alert_only,high,2026-09-18 03:00:44.702995+00,2026-09-18 03:03:14.44258+00
02d0c1bd-4d68-4ab4-8480-c17f44098eb6,/srv/fim-watch/gen_00275.txt,file_modified,alert_only,high,2026-09-18 03:00:44.803416+00,2026-09-18 03:03:14.457764+00
5032bef3-8ecd-4cea-8520-7f3fc885be46,/srv/fim-watch/gen_00275.txt,file_modified,alert_only,high,2026-09-18 03:00:44.903248+00,2026-09-18 03:03:14.472663+00
5cb33f0c-a048-49f9-ad07-57e17b62b086,/srv/fim-watch/gen_00325.txt,file_modified,alert_only,high,2026-09-18 03:00:45.003266+00,2026-09-18 03:03:14.486903+00
aea60e59-a0ac-4c07-bb75-1da07de8f7c2,/srv/fim-watch/gen_00355.txt,file_modified,alert_only,high,2026-09-18 03:00:45.102987+00,2026-09-18 03:03:14.507464+00
44964c30-4c1b-421a-88bf-57e6b02ba6b5,/srv/fim-watch/gen_00162.txt,file_deleted,alert_only,high,2026-09-18 03:00:45.203497+00,2026-09-18 03:03:14.531856+00
3d27f032-a441-4853-9d5e-e5e0ebbf0a3e,/srv/fim-watch/gen_00356.txt,file_modified,alert_only,high,2026-09-18 03:00:45.303259+00,2026-09-18 03:03:14.545777+00
a8b8dd5c-cd7f-4536-a7d6-7a4fbfc9bd44,/srv/fim-watch/gen_00357.txt,file_modified,alert_only,high,2026-09-18 03:00:45.403456+00,2026-09-18 03:03:14.563866+00
136e74a4-5b31-45a6-92ef-e1e3353d763e,/srv/fim-watch/gen_00358.txt,file_modified,alert_only,high,2026-09-18 03:00:45.5033+00,2026-09-18 03:03:14.577536+00
ddc130b2-073c-4c95-9858-8ae8acec64fb,/srv/fim-watch/gen_00230.txt,file_modified,alert_only,high,2026-09-18 03:00:45.702791+00,2026-09-18 03:03:14.592643+00
439dc439-e132-486d-8673-d232a0b310fb,/srv/fim-watch/gen_00263.txt,file_modified,alert_only,high,2026-09-18 03:00:45.803265+00,2026-09-18 03:03:14.611914+00
205cdbc1-0d85-4c69-82c1-5f656707746a,/srv/fim-watch/gen_00263.txt,file_modified,alert_only,high,2026-09-18 03:00:45.903638+00,2026-09-18 03:03:14.628214+00
3d2cc811-1dbf-4f0f-bb74-6e416957802f,/srv/fim-watch/gen_00360.txt,file_modified,alert_only,high,2026-09-18 03:00:46.00315+00,2026-09-18 03:03:14.643181+00
