========================================================================
generador_carga.py — arranque 2026-09-17T21:57:50.842390+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00174/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:08:13.594368+00:00
 [00175/500] delete simple     /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:08:17.193800+00:00
 [00176/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:08:20.793826+00:00
 [00177/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:08:24.393511+00:00
 [00178/500] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-17T22:08:27.993374+00:00
 [00179/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:08:31.592570+00:00
 [00180/500] delete simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:08:35.192311+00:00
 [00181/500] delete simple     /srv/fim-watch/gen_00030.txt ts=2026-09-17T22:08:38.792318+00:00
 [00182/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:08:42.392099+00:00
 [00183/500] delete simple     /srv/fim-watch/gen_00037.txt ts=2026-09-17T22:08:45.991502+00:00
 [00184/500] create simple     /srv/fim-watch/gen_00038.txt ts=2026-09-17T22:08:49.591329+00:00
 [00185/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:08:53.191271+00:00
 [00186/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:08:56.790591+00:00
 [00187/500] modify simple     /srv/fim-watch/gen_00036.txt ts=2026-09-17T22:09:00.390620+00:00
 [00188/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:09:03.990334+00:00
 [00189/500] modify simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T22:09:07.590350+00:00
 [00190/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:09:11.189811+00:00
 [00191/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:09:14.789284+00:00
 [00192/500] create simple     /srv/fim-watch/critico/gen_00039.txt ts=2026-09-17T22:09:18.389089+00:00
 [00193/500] create simple     /srv/fim-watch/gen_00040.txt ts=2026-09-17T22:09:21.988769+00:00
 [00194/500] create simple     /srv/fim-watch/gen_00041.txt ts=2026-09-17T22:09:25.588674+00:00
 [00195/500] delete simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:09:29.188167+00:00
 [00196/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:09:32.787964+00:00
 [00197/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:09:36.387640+00:00
 [00198/500] create simple     /srv/fim-watch/critico/gen_00042.txt ts=2026-09-17T22:09:39.987612+00:00
 [00199/500] modify revertido  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:09:43.587332+00:00
 [00200/500] modify revertido  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:09:47.186928+00:00
 [00201/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:09:50.786613+00:00
 [00202/500] delete simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T22:09:54.386264+00:00
 [00203/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:09:57.986320+00:00
 [00204/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:01.586235+00:00
 [00205/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:05.185555+00:00
 [00206/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:08.785008+00:00
 [00207/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:12.384939+00:00
 [00208/500] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-17T22:10:15.985181+00:00
 [00209/500] delete simple     /srv/fim-watch/gen_00038.txt ts=2026-09-17T22:10:19.584516+00:00
 [00210/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:23.184289+00:00
 [00211/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:10:26.783748+00:00
 [00212/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:30.383364+00:00
 [00213/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:33.983154+00:00
 [00214/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:37.582602+00:00
 [00215/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:41.182634+00:00
 [00216/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:44.782290+00:00
 [00217/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:10:48.382110+00:00
 [00218/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:10:51.981794+00:00
 [00219/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:10:55.581459+00:00
 [00220/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:10:59.181345+00:00
 [00221/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:11:02.780746+00:00
 [00222/500] modify revertido  /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:11:06.380291+00:00
 [00223/500] modify revertido  /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:11:09.980145+00:00
 [00224/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:11:13.579815+00:00
 [00225/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:11:17.179637+00:00
 [00226/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:11:20.779570+00:00
 [00227/500] create simple     /srv/fim-watch/gen_00043.txt ts=2026-09-17T22:11:24.378960+00:00
 [00228/500] modify revertido  /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:11:27.978641+00:00
 [00229/500] modify revertido  /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:11:31.578199+00:00
 [00230/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:11:35.178403+00:00
 [00231/500] modify simple     /srv/fim-watch/gen_00041.txt ts=2026-09-17T22:11:38.777909+00:00
 [00232/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:11:42.377487+00:00
