========================================================================
generador_carga.py — arranque 2026-09-18T20:53:57.965728+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260918
  rate_eventos_por_segundo     = 10.0
  count                        = 400
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 39.900000000000006
  manifiesto                   = /srv/evidencia/item42_manifiesto.json
  log                          = /srv/evidencia/item42_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00119/400] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:09.767535+00:00
 [00120/400] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:09.867543+00:00
 [00121/400] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T20:54:09.967602+00:00
 [00122/400] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:10.067311+00:00
 [00123/400] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:10.168145+00:00
 [00124/400] create simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:10.267648+00:00
 [00125/400] create simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T20:54:10.367380+00:00
 [00126/400] create simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:10.467421+00:00
 [00127/400] create efimero    /srv/fim-watch/gen_00019.txt ts=2026-09-18T20:54:10.567483+00:00
 [00128/400] delete efimero    /srv/fim-watch/gen_00019.txt ts=2026-09-18T20:54:10.667421+00:00
 [00129/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:10.767565+00:00
 [00130/400] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T20:54:10.867696+00:00
 [00131/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:10.967566+00:00
 [00132/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:11.067440+00:00
 [00133/400] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T20:54:11.168046+00:00
 [00134/400] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T20:54:11.267731+00:00
 [00135/400] create simple     /srv/fim-watch/gen_00021.txt ts=2026-09-18T20:54:11.367429+00:00
 [00136/400] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T20:54:11.467426+00:00
 [00137/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:11.567629+00:00
 [00138/400] create efimero    /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T20:54:11.667558+00:00
 [00139/400] delete efimero    /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T20:54:11.767320+00:00
 [00140/400] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T20:54:11.867628+00:00
 [00141/400] create simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T20:54:11.967483+00:00
 [00142/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:12.067673+00:00
 [00143/400] delete simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T20:54:12.167382+00:00
 [00144/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:12.267319+00:00
 [00145/400] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:12.367997+00:00
 [00146/400] create efimero    /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T20:54:12.467440+00:00
 [00147/400] delete efimero    /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T20:54:12.567460+00:00
 [00148/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:12.667648+00:00
 [00149/400] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T20:54:12.767382+00:00
 [00150/400] create simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:12.867370+00:00
 [00151/400] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:12.967418+00:00
 [00152/400] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T20:54:13.067355+00:00
 [00153/400] create simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:13.167527+00:00
 [00154/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:13.267599+00:00
 [00155/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:13.367396+00:00
 [00156/400] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T20:54:13.467457+00:00
 [00157/400] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T20:54:13.567556+00:00
 [00158/400] modify revertido  /srv/fim-watch/gen_00028.txt ts=2026-09-18T20:54:13.667539+00:00
 [00159/400] modify revertido  /srv/fim-watch/gen_00028.txt ts=2026-09-18T20:54:13.767595+00:00
 [00160/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:13.867613+00:00
 [00161/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:13.967660+00:00
 [00162/400] delete simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T20:54:14.067364+00:00
 [00163/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:14.167566+00:00
 [00164/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:14.267539+00:00
 [00165/400] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T20:54:14.367584+00:00
 [00166/400] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T20:54:14.467512+00:00
 [00167/400] modify revertido  /srv/fim-watch/gen_00026.txt ts=2026-09-18T20:54:14.567505+00:00
 [00168/400] modify revertido  /srv/fim-watch/gen_00026.txt ts=2026-09-18T20:54:14.667641+00:00
 [00169/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:14.767529+00:00
 [00170/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:14.867541+00:00
 [00171/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:14.967572+00:00
 [00172/400] delete simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T20:54:15.067480+00:00
 [00173/400] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:15.167714+00:00
 [00174/400] create simple     /srv/fim-watch/gen_00029.txt ts=2026-09-18T20:54:15.267237+00:00
 [00175/400] modify revertido  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:15.367738+00:00
