scan_id,ts_scan_utc,ts_scan_epoch,ts_scan_previo_epoch,operacion,ruta_host,ruta_agente,hash_antes,hash_despues,bytes,motivo
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/gen_00041.txt,/srv/fim-watch/gen_00041.txt,42c58a1173fa4e8a790fb07590ac315a49241c4010ef2b927547104f306be1a0,,,baja
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/gen_00044.txt,/srv/fim-watch/gen_00044.txt,f1a847a0a598cddafbfc366af4a8ac419fe2e6ad971bcab5a5f2c2455590526e,,,baja
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/critico/gen_00024.txt,/srv/fim-watch/critico/gen_00024.txt,04cf86199960f7ef9221e5443c94b99511ad80355fe76bdd65f79e56b067ce3c,9028823b2e1c9873e7ce942adc273cec14004aa8445df006355d775192bf76b3,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/critico/gen_00027.txt,/srv/fim-watch/critico/gen_00027.txt,031d967aaa1285d6472757e89aca54584f5438e78e3be3638cca3b9b934d8a01,d2fbc4b7fd329f7326819f1aec54ddf6b5fbcdda97d46366dd2d53cf496171db,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/critico/gen_00029.txt,/srv/fim-watch/critico/gen_00029.txt,4eaab2255a16fa0d0ecd038e7d89966667b0e46b80ba70407b21af5191bd937c,17c9fd1935cffcad5b086882df4c1486134f0545ab8fb7ac64816fbf90c005ca,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/critico/gen_00039.txt,/srv/fim-watch/critico/gen_00039.txt,d6e68d300c5357efbcc7c6b9ad269b278ab78ba33e0f66938fb2b1c5f2fff393,c957d913cc7d345433ff58d61a94b7e2339cd381e0382c4ad71ff27f15c6d682,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00013.txt,/srv/fim-watch/gen_00013.txt,5ed2f1f4ef2e5cab1b0955b3ef471a0a80954fcafeb6128a6f48a19e2b041d72,4f3e43e0694f029f8e12ea0c9e61259b0bc03e872d63ac46ed082970bf478d4d,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00014.txt,/srv/fim-watch/gen_00014.txt,36efdb40b6630e0580982c949871e0cd244711e30e9f1c963b4f0825fe1f15db,9c067bbc08b47205f24687b9504e37d1003a51d0445af118880650d0e7847321,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00020.txt,/srv/fim-watch/gen_00020.txt,051ae16c0f3dbf17a5201140bae96211ebcdb377d5f9394663ac6560c7bf6f79,1d37125f0ffaacd9c3527417cc4a834e8aa37a5c7729d33572ae55fc6e11795b,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00025.txt,/srv/fim-watch/gen_00025.txt,7f2b2813a5054cf3b95ca42c7b7e988a1d4e21f037eae72632c927737ef21ffe,40d58b3f7644f7b3bc3a311ce8ca7c3d06437d9bbf1ef9fb9564b70880c2d43a,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00034.txt,/srv/fim-watch/gen_00034.txt,26c9486eb1117d9fe42f9a35bc35e62c4d4c9b355a555e80cb5398bdb2be75b9,b48350cf572ad899acb4c1b3dd9ff15939957dd7ab398c1a6eba79c84dd8be03,65,hash
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,modify,/srv/fim-watch/gen_00040.txt,/srv/fim-watch/gen_00040.txt,5564177dfbddf24d8a4080c2a96ab10356b92f45834ce7d3f097a5bf82b477b6,587a5e7ad4f2de53e8ddac669426d3dc04baf769bacca26e161e452aec6cbf96,65,hash
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,create,/srv/fim-watch/gen_00098.txt,/srv/fim-watch/gen_00098.txt,,67b9d333b6a958cfc1d6cd4b7d538557369720acc4d61984a082b5162c0732b1,65,alta
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,create,/srv/fim-watch/gen_00099.txt,/srv/fim-watch/gen_00099.txt,,4860d2d472efbb41e78277974e9b8e50ec537e384090cc2175b58ebbfa31076e,65,alta
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,create,/srv/fim-watch/gen_00100.txt,/srv/fim-watch/gen_00100.txt,,5290ee25622318d55b3c9029f01dc49b8fdabd06ba9c7582498e50f788a70932,65,alta
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,delete,/srv/fim-watch/gen_00076.txt,/srv/fim-watch/gen_00076.txt,c73c64a2c9cbf76bb3a8311fdbe74fa34e850cdef852c514f56bd9ad0edb20b2,,,baja
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,modify,/srv/fim-watch/critico/gen_00058.txt,/srv/fim-watch/critico/gen_00058.txt,3621015511552b7a5e90f6d74734b4acfd04c0abfe8bae1d863a81b39373a765,37c103739a6e9e29aa71b518a1248ff288a79a455e815d3c7706e924170797dd,65,hash
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,modify,/srv/fim-watch/gen_00056.txt,/srv/fim-watch/gen_00056.txt,256c2126d7fca77ac7064bfa8599d52f47dd91302a6775e6b4775b442b5b082d,7c76ee8fe188fb8d64b4d5ed0626d09b7fe4c096c2d8d3a12abbc6781ff3efde,65,hash
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,modify,/srv/fim-watch/gen_00061.txt,/srv/fim-watch/gen_00061.txt,8a2897288e64f08044300efde8527fe5992f06286acecab0c4053d5fb8935dc5,2f4eb78034d2436a4eee2b250aa694aa0783ba1bb9f31e9ed2ef872f93d42fc4,65,hash
4,2026-09-18T02:56:15.844890+00:00,1789700175.844890,1789699275.843717,modify,/srv/fim-watch/gen_00078.txt,/srv/fim-watch/gen_00078.txt,97e319141d6e8811194fb75bfc2438434f2a9885c6e3ec49794eca6bd4a8567e,0c7682906e36c71d2ccf075355d27d9a683240d38c31b32b8d77b72fc19d1fd3,65,hash
