seq,patron,operacion,ruta_agente,fim,control
229,revertido,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
230,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
231,simple,modify,/srv/fim-watch/gen_00041.txt,1,0
232,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
233,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
234,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
235,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
236,simple,modify,/srv/fim-watch/gen_00043.txt,1,0
237,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
238,simple,delete,/srv/fim-watch/gen_00043.txt,1,0
239,simple,delete,/srv/fim-watch/gen_00026.txt,1,0
240,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
241,simple,modify,/srv/fim-watch/gen_00032.txt,1,0
242,simple,create,/srv/fim-watch/gen_00044.txt,1,1
243,simple,modify,/srv/fim-watch/gen_00040.txt,1,1
244,simple,modify,/srv/fim-watch/gen_00041.txt,1,1
245,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,1
246,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
247,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
248,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
249,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
250,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
251,colapsado,modify,/srv/fim-watch/gen_00025.txt,1,1
252,colapsado,modify,/srv/fim-watch/gen_00025.txt,1,0
253,colapsado,modify,/srv/fim-watch/gen_00025.txt,1,0
254,colapsado,modify,/srv/fim-watch/gen_00025.txt,1,0
255,colapsado,modify,/srv/fim-watch/gen_00025.txt,1,0
256,simple,modify,/srv/fim-watch/gen_00040.txt,1,0
257,simple,modify,/srv/fim-watch/critico/gen_00027.txt,1,1
258,simple,modify,/srv/fim-watch/gen_00034.txt,1,1
259,simple,modify,/srv/fim-watch/gen_00025.txt,0,0
260,revertido,modify,/srv/fim-watch/gen_00040.txt,1,0
261,revertido,modify,/srv/fim-watch/gen_00040.txt,1,0
262,simple,modify,/srv/fim-watch/gen_00044.txt,1,1
263,simple,create,/srv/fim-watch/gen_00045.txt,1,1
264,simple,create,/srv/fim-watch/gen_00046.txt,1,0
265,efimero,create,/srv/fim-watch/critico/gen_00047.txt,1,0
266,efimero,delete,/srv/fim-watch/critico/gen_00047.txt,1,0
267,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,1
268,efimero,create,/srv/fim-watch/critico/gen_00048.txt,1,0
269,efimero,delete,/srv/fim-watch/critico/gen_00048.txt,1,0
270,simple,modify,/srv/fim-watch/critico/gen_00039.txt,1,1
271,simple,delete,/srv/fim-watch/gen_00032.txt,1,1
272,simple,delete,/srv/fim-watch/gen_00046.txt,1,0
273,revertido,modify,/srv/fim-watch/gen_00025.txt,1,0
274,revertido,modify,/srv/fim-watch/gen_00025.txt,0,0
275,simple,create,/srv/fim-watch/gen_00049.txt,1,1
276,simple,modify,/srv/fim-watch/gen_00034.txt,1,0
277,revertido,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
278,revertido,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
279,simple,delete,/srv/fim-watch/gen_00036.txt,1,1
280,efimero,create,/srv/fim-watch/gen_00050.txt,1,0
281,efimero,delete,/srv/fim-watch/gen_00050.txt,1,0
282,simple,delete,/srv/fim-watch/critico/gen_00009.txt,1,1
283,simple,create,/srv/fim-watch/gen_00051.txt,1,1
284,simple,create,/srv/fim-watch/gen_00052.txt,1,1
285,simple,modify,/srv/fim-watch/critico/gen_00027.txt,1,0
286,simple,create,/srv/fim-watch/gen_00053.txt,1,1
287,revertido,modify,/srv/fim-watch/gen_00040.txt,1,0
288,revertido,modify,/srv/fim-watch/gen_00040.txt,1,0
289,simple,modify,/srv/fim-watch/gen_00014.txt,1,1
290,simple,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
291,efimero,create,/srv/fim-watch/gen_00054.txt,1,0
292,efimero,delete,/srv/fim-watch/gen_00054.txt,1,0
293,simple,create,/srv/fim-watch/gen_00055.txt,1,1
294,simple,create,/srv/fim-watch/gen_00056.txt,1,1
295,simple,modify,/srv/fim-watch/gen_00045.txt,1,0
296,simple,modify,/srv/fim-watch/gen_00041.txt,1,0
297,simple,modify,/srv/fim-watch/gen_00053.txt,1,0
298,simple,modify,/srv/fim-watch/gen_00049.txt,1,0
299,simple,modify,/srv/fim-watch/gen_00051.txt,1,0
300,efimero,create,/srv/fim-watch/critico/gen_00057.txt,1,0
301,efimero,delete,/srv/fim-watch/critico/gen_00057.txt,1,0
302,revertido,modify,/srv/fim-watch/gen_00053.txt,1,0
303,revertido,modify,/srv/fim-watch/gen_00053.txt,1,0
304,simple,modify,/srv/fim-watch/gen_00044.txt,1,0
305,simple,create,/srv/fim-watch/critico/gen_00058.txt,1,1
306,simple,modify,/srv/fim-watch/gen_00056.txt,1,0
307,simple,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
308,simple,modify,/srv/fim-watch/gen_00041.txt,1,0
309,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
310,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
311,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
312,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
313,colapsado,modify,/srv/fim-watch/gen_00013.txt,1,0
314,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
315,simple,modify,/srv/fim-watch/gen_00020.txt,1,1
316,simple,modify,/srv/fim-watch/critico/gen_00058.txt,1,0
317,simple,create,/srv/fim-watch/gen_00059.txt,1,1
318,simple,create,/srv/fim-watch/gen_00060.txt,1,1
319,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,1
320,simple,create,/srv/fim-watch/gen_00061.txt,0,1
321,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
322,simple,create,/srv/fim-watch/gen_00062.txt,1,1
323,simple,create,/srv/fim-watch/gen_00063.txt,1,1
324,simple,modify,/srv/fim-watch/gen_00062.txt,1,0
325,simple,create,/srv/fim-watch/gen_00064.txt,1,0
326,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
327,simple,modify,/srv/fim-watch/gen_00052.txt,1,0
328,simple,modify,/srv/fim-watch/critico/gen_00027.txt,1,0
329,revertido,modify,/srv/fim-watch/gen_00064.txt,1,0
330,revertido,modify,/srv/fim-watch/gen_00064.txt,1,0
331,revertido,modify,/srv/fim-watch/gen_00025.txt,1,0
332,revertido,modify,/srv/fim-watch/gen_00025.txt,0,0
333,simple,modify,/srv/fim-watch/gen_00051.txt,1,0
334,simple,create,/srv/fim-watch/gen_00065.txt,1,1
335,simple,modify,/srv/fim-watch/critico/gen_00027.txt,0,0
336,simple,modify,/srv/fim-watch/gen_00045.txt,1,0
337,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
338,simple,create,/srv/fim-watch/gen_00066.txt,1,1
339,simple,modify,/srv/fim-watch/gen_00049.txt,1,0
340,simple,modify,/srv/fim-watch/gen_00060.txt,1,0
341,simple,create,/srv/fim-watch/gen_00067.txt,1,1
342,simple,create,/srv/fim-watch/gen_00068.txt,1,1
343,simple,modify,/srv/fim-watch/gen_00053.txt,0,0
344,simple,create,/srv/fim-watch/gen_00069.txt,1,1
345,revertido,modify,/srv/fim-watch/gen_00056.txt,1,0
346,revertido,modify,/srv/fim-watch/gen_00056.txt,1,0
347,simple,modify,/srv/fim-watch/critico/gen_00058.txt,1,0
348,simple,modify,/srv/fim-watch/gen_00063.txt,1,0
349,revertido,modify,/srv/fim-watch/critico/gen_00042.txt,1,1
350,revertido,modify,/srv/fim-watch/critico/gen_00042.txt,0,0
351,simple,modify,/srv/fim-watch/gen_00067.txt,1,0
352,simple,create,/srv/fim-watch/gen_00070.txt,1,0
353,simple,modify,/srv/fim-watch/gen_00068.txt,1,0
354,simple,create,/srv/fim-watch/gen_00071.txt,1,1
355,simple,delete,/srv/fim-watch/critico/gen_00042.txt,1,0
356,efimero,create,/srv/fim-watch/gen_00072.txt,1,0
357,efimero,delete,/srv/fim-watch/gen_00072.txt,1,0
358,revertido,modify,/srv/fim-watch/gen_00068.txt,1,0
359,revertido,modify,/srv/fim-watch/gen_00068.txt,1,0
360,simple,delete,/srv/fim-watch/gen_00070.txt,1,0
361,simple,delete,/srv/fim-watch/gen_00044.txt,1,0
362,simple,modify,/srv/fim-watch/gen_00034.txt,1,0
363,simple,modify,/srv/fim-watch/gen_00059.txt,1,0
364,simple,create,/srv/fim-watch/gen_00073.txt,1,1
365,simple,modify,/srv/fim-watch/gen_00063.txt,1,0
366,simple,create,/srv/fim-watch/gen_00074.txt,1,1
367,simple,modify,/srv/fim-watch/gen_00067.txt,1,0
368,simple,modify,/srv/fim-watch/critico/gen_00058.txt,1,0
369,simple,create,/srv/fim-watch/gen_00075.txt,1,0
370,simple,create,/srv/fim-watch/gen_00076.txt,1,1
371,simple,modify,/srv/fim-watch/gen_00071.txt,1,0
372,simple,create,/srv/fim-watch/gen_00077.txt,1,1
373,simple,modify,/srv/fim-watch/gen_00064.txt,1,0
374,simple,modify,/srv/fim-watch/gen_00062.txt,1,0
375,simple,modify,/srv/fim-watch/gen_00034.txt,1,0
376,revertido,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
377,revertido,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
378,simple,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
379,simple,modify,/srv/fim-watch/gen_00052.txt,1,0
380,simple,modify,/srv/fim-watch/gen_00056.txt,1,0
381,simple,modify,/srv/fim-watch/critico/gen_00039.txt,1,0
382,simple,modify,/srv/fim-watch/gen_00061.txt,1,0
383,simple,modify,/srv/fim-watch/gen_00049.txt,1,0
384,simple,modify,/srv/fim-watch/gen_00067.txt,1,0
385,simple,modify,/srv/fim-watch/gen_00075.txt,1,0
386,simple,modify,/srv/fim-watch/gen_00074.txt,1,0
387,colapsado,modify,/srv/fim-watch/gen_00041.txt,1,0
388,colapsado,modify,/srv/fim-watch/gen_00041.txt,1,0
389,colapsado,modify,/srv/fim-watch/gen_00041.txt,1,0
390,colapsado,modify,/srv/fim-watch/gen_00041.txt,1,0
391,colapsado,modify,/srv/fim-watch/gen_00041.txt,1,0
392,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
393,simple,create,/srv/fim-watch/gen_00078.txt,1,1
394,revertido,modify,/srv/fim-watch/critico/gen_00058.txt,1,0
395,revertido,modify,/srv/fim-watch/critico/gen_00058.txt,1,0
396,simple,modify,/srv/fim-watch/gen_00065.txt,1,0
397,simple,modify,/srv/fim-watch/gen_00069.txt,1,0
398,revertido,modify,/srv/fim-watch/critico/gen_00027.txt,1,0
399,revertido,modify,/srv/fim-watch/critico/gen_00027.txt,0,0
400,simple,modify,/srv/fim-watch/critico/gen_00039.txt,0,0
401,simple,create,/srv/fim-watch/gen_00079.txt,1,1
402,revertido,modify,/srv/fim-watch/gen_00013.txt,1,0
403,revertido,modify,/srv/fim-watch/gen_00013.txt,1,0
404,colapsado,modify,/srv/fim-watch/gen_00063.txt,1,0
405,colapsado,modify,/srv/fim-watch/gen_00063.txt,1,0
406,colapsado,modify,/srv/fim-watch/gen_00063.txt,1,0
407,colapsado,modify,/srv/fim-watch/gen_00063.txt,1,0
408,colapsado,modify,/srv/fim-watch/gen_00063.txt,1,0
409,simple,modify,/srv/fim-watch/gen_00077.txt,1,0
410,simple,delete,/srv/fim-watch/gen_00041.txt,1,0
411,simple,modify,/srv/fim-watch/gen_00067.txt,1,0
412,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
413,simple,create,/srv/fim-watch/gen_00080.txt,1,1
414,simple,modify,/srv/fim-watch/gen_00067.txt,1,0
415,simple,modify,/srv/fim-watch/gen_00052.txt,1,0
416,simple,create,/srv/fim-watch/gen_00081.txt,0,1
417,simple,modify,/srv/fim-watch/gen_00066.txt,1,0
418,colapsado,modify,/srv/fim-watch/gen_00079.txt,1,0
419,colapsado,modify,/srv/fim-watch/gen_00079.txt,1,0
420,colapsado,modify,/srv/fim-watch/gen_00079.txt,1,0
421,colapsado,modify,/srv/fim-watch/gen_00079.txt,1,0
422,colapsado,modify,/srv/fim-watch/gen_00079.txt,0,0
423,simple,create,/srv/fim-watch/gen_00082.txt,1,1
424,simple,modify,/srv/fim-watch/gen_00034.txt,1,0
425,revertido,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
426,revertido,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
427,simple,create,/srv/fim-watch/gen_00083.txt,1,1
428,revertido,modify,/srv/fim-watch/gen_00065.txt,1,0
429,revertido,modify,/srv/fim-watch/gen_00065.txt,1,0
