========================================================================
generador_carga.py — arranque 2026-09-18T03:55:29.252500+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00157/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:04:50.809528+00:00
 [00158/500] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-18T04:04:54.409115+00:00
 [00159/500] create simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T04:04:58.009126+00:00
 [00160/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T04:05:01.608663+00:00
 [00161/500] create efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-18T04:05:05.208443+00:00
 [00162/500] delete efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-18T04:05:08.808140+00:00
 [00163/500] create simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:05:12.407686+00:00
 [00164/500] delete simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T04:05:16.007437+00:00
 [00165/500] create simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T04:05:19.607407+00:00
 [00166/500] create simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T04:05:23.207029+00:00
 [00167/500] create simple     /srv/fim-watch/gen_00037.txt ts=2026-09-18T04:05:26.806995+00:00
 [00168/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:05:30.406432+00:00
 [00169/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T04:05:34.006238+00:00
 [00170/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T04:05:37.606300+00:00
 [00171/500] delete simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T04:05:41.205649+00:00
 [00172/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T04:05:44.805536+00:00
 [00173/500] modify simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T04:05:48.405103+00:00
 [00174/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:05:52.004704+00:00
 [00175/500] delete simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:05:55.604315+00:00
 [00176/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:05:59.204348+00:00
 [00177/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:06:02.803821+00:00
 [00178/500] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T04:06:06.403651+00:00
 [00179/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:06:10.003299+00:00
 [00180/500] delete simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:06:13.602950+00:00
 [00181/500] delete simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T04:06:17.202578+00:00
 [00182/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:06:20.802691+00:00
 [00183/500] delete simple     /srv/fim-watch/gen_00037.txt ts=2026-09-18T04:06:24.402038+00:00
 [00184/500] create simple     /srv/fim-watch/gen_00038.txt ts=2026-09-18T04:06:28.001688+00:00
 [00185/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:06:31.601780+00:00
 [00186/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:06:35.201449+00:00
 [00187/500] modify simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T04:06:38.801014+00:00
 [00188/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:06:42.400727+00:00
 [00189/500] modify simple     /srv/fim-watch/gen_00031.txt ts=2026-09-18T04:06:46.000641+00:00
 [00190/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:06:49.600303+00:00
 [00191/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:06:53.200037+00:00
 [00192/500] create simple     /srv/fim-watch/critico/gen_00039.txt ts=2026-09-18T04:06:56.799697+00:00
 [00193/500] create simple     /srv/fim-watch/gen_00040.txt ts=2026-09-18T04:07:00.399379+00:00
 [00194/500] create simple     /srv/fim-watch/gen_00041.txt ts=2026-09-18T04:07:03.999160+00:00
 [00195/500] delete simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:07:07.598672+00:00
 [00196/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:11.198540+00:00
 [00197/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:07:14.798263+00:00
 [00198/500] create simple     /srv/fim-watch/critico/gen_00042.txt ts=2026-09-18T04:07:18.398033+00:00
 [00199/500] modify revertido  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:07:21.997666+00:00
 [00200/500] modify revertido  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:07:25.597101+00:00
 [00201/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:29.196782+00:00
 [00202/500] delete simple     /srv/fim-watch/gen_00031.txt ts=2026-09-18T04:07:32.796660+00:00
 [00203/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:36.396221+00:00
 [00204/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:39.996131+00:00
 [00205/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:43.595844+00:00
 [00206/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:47.195342+00:00
 [00207/500] modify colapsado  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:07:50.795592+00:00
 [00208/500] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T04:07:54.394791+00:00
 [00209/500] delete simple     /srv/fim-watch/gen_00038.txt ts=2026-09-18T04:07:57.994414+00:00
 [00210/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:08:01.594327+00:00
 [00211/500] modify revertido  /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:08:05.194103+00:00
 [00212/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:08.793962+00:00
 [00213/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:12.393464+00:00
 [00214/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:15.993360+00:00
 [00215/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:19.593122+00:00
 [00216/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:23.192634+00:00
 [00217/500] modify colapsado  /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:26.792640+00:00
 [00218/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:08:30.392107+00:00
 [00219/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:08:33.992086+00:00
 [00220/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:08:37.591464+00:00
 [00221/500] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:08:41.191610+00:00
 [00222/500] modify revertido  /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:08:44.791041+00:00
 [00223/500] modify revertido  /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:08:48.390787+00:00
 [00224/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T04:08:51.990621+00:00
 [00225/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T04:08:55.590313+00:00
 [00226/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T04:08:59.189750+00:00
 [00227/500] create simple     /srv/fim-watch/gen_00043.txt ts=2026-09-18T04:09:02.789345+00:00
 [00228/500] modify revertido  /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:09:06.389462+00:00
 [00229/500] modify revertido  /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:09:09.989406+00:00
 [00230/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T04:09:13.588729+00:00
 [00231/500] modify simple     /srv/fim-watch/gen_00041.txt ts=2026-09-18T04:09:17.188209+00:00
 [00232/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T04:09:20.788277+00:00
